"date","number_of_strikes","center_point_geom"
"2018-01-08","34","POINT(-95.5 29.4)"
"2018-01-08","44","POINT(-95.4 29.4)"
"2018-01-08","155","POINT(-95.3 29.4)"
"2018-01-08","224","POINT(-95.2 29.4)"
"2018-01-08","326","POINT(-95.1 29.4)"
"2018-01-08","223","POINT(-94.9 29.4)"
"2018-01-08","639","POINT(-94.8 29.4)"
"2018-01-08","532","POINT(-94.7 29.4)"
"2018-01-08","697","POINT(-94.6 29.4)"
"2018-01-08","774","POINT(-94.5 29.4)"
"2018-01-08","1167","POINT(-94.4 29.4)"
"2018-01-08","738","POINT(-94.3 29.4)"
"2018-01-08","32","POINT(-95.5 29.6)"
"2018-01-08","83","POINT(-95.4 29.6)"
"2018-01-08","321","POINT(-95.3 29.6)"
"2018-01-08","168","POINT(-95.2 29.6)"
"2018-01-08","186","POINT(-95.1 29.6)"
"2018-01-08","136","POINT(-94.9 29.6)"
"2018-01-08","124","POINT(-94.8 29.6)"
"2018-01-08","224","POINT(-94.7 29.6)"
"2018-01-08","195","POINT(-94.6 29.6)"
"2018-01-08","243","POINT(-94.5 29.6)"
"2018-01-08","208","POINT(-94.4 29.6)"
"2018-01-08","146","POINT(-94.3 29.6)"
"2018-01-08","76","POINT(-94.2 29.6)"
"2018-01-08","69","POINT(-94.1 29.6)"
"2018-01-08","92","POINT(-93.9 29.6)"
"2018-01-08","73","POINT(-93.8 29.6)"
"2018-01-08","49","POINT(-93.7 29.6)"
"2018-01-08","28","POINT(-93.5 29.6)"
"2018-01-08","40","POINT(-93.4 29.6)"
"2018-01-08","43","POINT(-93.3 29.6)"
"2018-01-08","73","POINT(-93.2 29.6)"
"2018-01-08","46","POINT(-91.9 29.6)"
"2018-01-08","45","POINT(-91.3 29.6)"
"2018-01-08","140","POINT(-91.2 29.6)"
"2018-01-08","130","POINT(-91.1 29.6)"
"2018-01-08","47","POINT(-95.4 29.5)"
"2018-01-08","70","POINT(-95.3 29.5)"
"2018-01-08","90","POINT(-95.2 29.5)"
"2018-01-08","159","POINT(-95.1 29.5)"
"2018-01-08","28","POINT(-94.1 29.8)"
"2018-01-08","34","POINT(-93.6 29.8)"
"2018-01-08","33","POINT(-93.4 29.8)"
"2018-01-08","32","POINT(-93.3 29.8)"
"2018-01-08","48","POINT(-95.5 29.7)"
"2018-01-08","25","POINT(-95.4 29.7)"
"2018-01-08","145","POINT(-95.3 29.7)"
"2018-01-08","133","POINT(-95.2 29.7)"
"2018-01-08","56","POINT(-95.1 29.7)"
"2018-01-08","84","POINT(-94.9 29.7)"
"2018-01-08","68","POINT(-94.8 29.7)"
"2018-01-08","58","POINT(-94.7 29.7)"
"2018-01-08","52","POINT(-94.6 29.7)"
"2018-01-08","65","POINT(-94.5 29.7)"
"2018-01-08","109","POINT(-94.4 29.7)"
"2018-01-08","69","POINT(-94.3 29.7)"
"2018-01-08","45","POINT(-94.2 29.7)"
"2018-01-08","52","POINT(-94.1 29.7)"
"2018-01-08","44","POINT(-93.8 29.7)"
"2018-01-08","57","POINT(-93.7 29.7)"
"2018-01-08","44","POINT(-93.6 29.7)"
"2018-01-08","38","POINT(-93.5 29.7)"
"2018-01-08","31","POINT(-93.4 29.7)"
"2018-01-08","23","POINT(-93.3 29.7)"
"2018-01-08","35","POINT(-93.2 29.7)"
"2018-01-08","37","POINT(-93.1 29.7)"
"2018-01-08","147","POINT(-95 29.7)"
"2018-01-08","36","POINT(-94 29.7)"
"2018-01-08","79","POINT(-91 29.7)"
"2018-01-08","48","POINT(-95.7 29.7)"
"2018-01-08","111","POINT(-95.6 29.7)"
"2018-01-08","181","POINT(-95 29.6)"
"2018-01-08","75","POINT(-94 29.6)"
"2018-01-08","23","POINT(-92 29.6)"
"2018-01-08","78","POINT(-91 29.6)"
"2018-01-08","31","POINT(-94.6 29.9)"
"2018-01-08","45","POINT(-94.5 29.9)"
"2018-01-08","49","POINT(-92.8 29.7)"
"2018-01-08","54","POINT(-92.7 29.7)"
"2018-01-08","95","POINT(-91.8 29.7)"
"2018-01-08","59","POINT(-91.1 29.7)"
"2018-01-08","52","POINT(-90.9 29.7)"
"2018-01-08","52","POINT(-95 29.8)"
"2018-01-08","25","POINT(-94 29.8)"
"2018-01-08","43","POINT(-91 29.8)"
"2018-01-08","81","POINT(-95.7 29.8)"
"2018-01-08","61","POINT(-95.6 29.8)"
"2018-01-08","134","POINT(-95.5 29.8)"
"2018-01-08","56","POINT(-95.4 29.8)"
"2018-01-08","67","POINT(-95.1 29.8)"
"2018-01-08","117","POINT(-94.9 29.8)"
"2018-01-08","104","POINT(-94.8 29.8)"
"2018-01-08","61","POINT(-94.7 29.8)"
"2018-01-08","89","POINT(-94.6 29.8)"
"2018-01-08","48","POINT(-94.5 29.8)"
"2018-01-08","33","POINT(-94.4 29.8)"
"2018-01-08","40","POINT(-94.9 30.1)"
"2018-01-08","46","POINT(-94.8 30.1)"
"2018-01-08","75","POINT(-94.7 30.1)"
"2018-01-08","68","POINT(-94.6 30.1)"
"2018-01-08","55","POINT(-94.5 30.1)"
"2018-01-08","42","POINT(-94.4 30.1)"
"2018-01-08","26","POINT(-92.8 29.8)"
"2018-01-08","33","POINT(-92.7 29.8)"
"2018-01-08","79","POINT(-92.6 29.8)"
"2018-01-08","37","POINT(-91.7 29.8)"
"2018-01-08","50","POINT(-90.9 29.8)"
